0.35/ 24, 0/ 0, 1.5/ 45, 1
0.55/ 72, 0/ 0, 1.5/ 45, 1
0.75/ 24, 0/ 0, 1.5/ 45, 1

1.5/ 24, 14/ 0, -1/ 2, 1
1.5/ 24, 14/ 1, 1/ 2, 1
1.5/ 24, 14/ 1, -1/ 2, 1
1.5/ 24, 14/ -1, 1/ 2, 1
1.5/ 24, 14/ -1, -1/ 2, 1
1.5/ 24, 14/ 2, 0/ 2, 1
1.5/ 24, 14/ -2, 0/ 2, 1
1.5/ 24, 14/ 0, 1/ 2, 1

2.1/ 48, 2/ 0, -1/ 2, 1
2.1/ 48, 2/ 1, 1/ 2, 1
2.1/ 48, 2/ 1, -1/ 2, 1
2.1/ 48, 2/ -1, 1/ 2, 1
2.1/ 48, 2/ -1, -1/ 2, 1
2.1/ 48, 2/ 2, 0/ 2, 1
2.1/ 48, 2/ -2, 0/ 2, 1
2.1/ 48, 2/ 0, 1/ 2, 1

2.7/ 96, 21/ 1, 1/ 2, 1
2.7/ 96, 21/ 1, -1/ 2, 1
2.7/ 96, 21/ -1, 1/ 2, 1
2.7/ 96, 21/ -1, -1/ 2, 1
2.7/ 96, 21/ 2, 0/ 2, 1
2.7/ 96, 21/ -2, 0/ 2, 1
2.7/ 96, 21/ 0, 1/ 2, 1
2.7/ 96, 21/ 0, -1/ 2, 1

4.2/ 0, 27/ 1, 0/ 2, 1
4.92/ 0, 27/ 1, 0/ 2, 1
5.64/ 0, 27/ 1, 0/ 2, 1
6.36/ 0, 27/ 1, 0/ 2, 1
7.08/ 0, 27/ 1, 0/ 2, 1
7.8/ 0, 27/ 1, 0/ 2, 1
8.52/ 0, 27/ 1, 0/ 2, 1
9.24/ 0, 27/ 1, 0/ 2, 1
9.96/ 0, 27/ 1, 0/ 2, 1
10.68/ 0, 27/ 1, 0/ 2, 1
11.4/ 0, 27/ 1, 0/ 2, 1
12.12/ 0, 27/ 1, 0/ 2, 1
12.84/ 0, 27/ 1, 0/ 2, 1
13.56/ 0, 27/ 1, 0/ 2, 1
14.28/ 0, 27/ 1, 0/ 2, 1
15/ 0, 27/ 1, 0/ 2, 1
15.72/ 0, 27/ 1, 0/ 2, 1
16.44/ 0, 27/ 1, 0/ 2, 1
17.16/ 0, 27/ 1, 0/ 2, 1
17.88/ 0, 27/ 1, 0/ 2, 1
18.6/ 0, 27/ 1, 0/ 2, 1
19.32/ 0, 27/ 1, 0/ 2, 1
20.04/ 0, 27/ 1, 0/ 2, 1
20.76/ 0, 27/ 1, 0/ 2, 1
21.48/ 0, 27/ 1, 0/ 2, 1
22.2/ 0, 27/ 1, 0/ 2, 1
22.92/ 0, 27/ 1, 0/ 2, 1
23.64/ 0, 27/ 1, 0/ 2, 1

9.5/ 48, 0/ 0, 0.75/ 2, 1
9.525/ 50, 0/ 0, 0.75/ 2, 1
9.55/ 52, 0/ 0, 0.75/ 2, 1
9.575/ 54, 0/ 0, 0.75/ 2, 1
9.6/ 56, 0/ 0, 0.75/ 2, 1
9.625/ 96, 0/ 0, 0.75/ 2, 1
9.65/ 98, 0/ 0, 0.75/ 2, 1
9.675/ 100, 0/ 0, 0.75/ 2, 1
9.7/ 102, 0/ 0, 0.75/ 2, 1
9.725/ 104, 0/ 0, 0.75/ 2, 1
9.75/ 24, 0/ 0, 0.75/ 2, 1
9.775/ 26, 0/ 0, 0.75/ 2, 1
9.8/ 28, 0/ 0, 0.75/ 2, 1
9.825/ 30, 0/ 0, 0.75/ 2, 1
9.85/ 32, 0/ 0, 0.75/ 2, 1
9.875/ 72, 0/ 0, 0.75/ 2, 1
9.9/ 74, 0/ 0, 0.75/ 2, 1
9.925/ 76, 0/ 0, 0.75/ 2, 1
9.95/ 78, 0/ 0, 0.75/ 2, 1
9.975/ 80, 0/ 0, 0.75/ 2, 1
10/ 56, 0/ 0, 0.75/ 2, 1
10.025/ 48, 0/ 0, 0.75/ 2, 1

15.7/ 24, 0/ 0, 1/ 4, 1
15.9/ 72, 0/ 0, 1/ 4, 1
16.1/ 48, 0/ 0, 1/ 4, 1
16.3/ 96, 0/ 0, 1/ 4, 1
17.1/ 32, 0/ 0, 1/ 4, 1
17.3/ 80, 0/ 0, 1/ 4, 1
17.5/ 56, 0/ 0, 1/ 4, 1
17.7/ 104, 0/ 0, 1/ 4, 1
18.5/ 24, 0/ 0, 1/ 4, 1
18.7/ 76, 0/ 0, 1/ 4, 1
18.9/ 52, 0/ 0, 1/ 4, 1
19.1/ 104, 0/ 0, 1/ 4, 1
21.5/ 0, 21/ 1, 0/ 4, 1
21.5/ 0, 22/ 1, 0/ 4, 1
21.7/ 0, 7/ 1, 0/ 4, 1
21.7/ 0, 8/ 1, 0/ 4, 1
21.9/ 0, 21/ 1, 0/ 4, 1
21.9/ 0, 22/ 1, 0/ 4, 1
22.1/ 0, 7/ 1, 0/ 4, 1
22.1/ 0, 8/ 1, 0/ 4, 1
22.9/ 0, 23/ 1, 0/ 4, 1
22.9/ 0, 24/ 1, 0/ 4, 1
23.1/ 0, 16/ 1, 0/ 4, 1
23.1/ 0, 17/ 1, 0/ 4, 1
23.3/ 0, 23/ 1, 0/ 4, 1
23.3/ 0, 24/ 1, 0/ 4, 1
23.5/ 0, 16/ 1, 0/ 4, 1
23.5/ 0, 17/ 1, 0/ 4, 1
25/ 80, 12/ -1, 0/ 39, 14
25.2/ 24, 0/ 0, 2/ 45, 1
25.4/ 72, 0/ 0, 2/ 45, 1
25.6/ 24, 0/ 0, 2/ 45, 1
27/ 0, 14/ 1, 1/ 2, 1
27.1/ 0, 7/ 1, 1/ 2, 1
27.2/ 24, 0/ 1, 1/ 2, 1
27.3/ 48, 0/ 1, 1/ 2, 1
27.4/ 0, 7/ 1, 1/ 2, 1
27.5/ 0, 14/ 1, 1/ 2, 1
27.6/ 48, 0/ 1, 1/ 2, 1
27.7/ 24, 0/ 1, 1/ 2, 1
28.5/ 72, 0/ -1, 1/ 2, 1
28.6/ 96, 0/ -1, 1/ 2, 1
28.7/ 120, 14/ -1, 1/ 2, 1
28.8/ 120, 21/ -1, 1/ 2, 1
28.9/ 96, 0/ -1, 1/ 2, 1
29/ 72, 0/ -1, 1/ 2, 1
29.1/ 120, 21/ -1, 1/ 2, 1
29.2/ 120, 14/ -1, 1/ 2, 1
30/ 72, 0/ -1, 1/ 2, 1
30.1/ 0, 14/ 1, 1/ 2, 1
30.2/ 96, 0/ -1, 1/ 2, 1
30.3/ 0, 7/ 1, 1/ 2, 1
30.4/ 120, 14/ -1, 1/ 2, 1
30.5/ 24, 0/ 1, 1/ 2, 1
30.6/ 120, 21/ -1, 1/ 2, 1
30.7/ 48, 0/ 1, 1/ 2, 1
30.8/ 96, 0/ -1, 1/ 2, 1
30.9/ 0, 7/ 1, 1/ 2, 1
31/ 72, 0/ -1, 1/ 2, 1
31.1/ 0, 14/ 1, 1/ 2, 1
31.2/ 120, 21/ -1, 1/ 2, 1
31.3/ 48, 0/ 1, 1/ 2, 1
31.4/ 120, 14/ -1, 1/ 2, 1
31.5/ 24, 0/ 1, 1/ 2, 1
31.6/ 72, 0/ -1, 1/ 2, 1
31.7/ 0, 14/ 1, 1/ 2, 1
31.8/ 96, 0/ -1, 1/ 2, 1
31.9/ 0, 7/ 1, 1/ 2, 1
32/ 120, 14/ -1, 1/ 2, 1
32.1/ 24, 0/ 1, 1/ 2, 1
32.2/ 120, 21/ -1, 1/ 2, 1
32.3/ 48, 0/ 1, 1/ 2, 1
32.4/ 96, 0/ -1, 1/ 2, 1
32.5/ 0, 7/ 1, 1/ 2, 1
32.6/ 72, 0/ -1, 1/ 2, 1
32.7/ 0, 14/ 1, 1/ 2, 1
32.8/ 120, 21/ -1, 1/ 2, 1
